4/30/2019 10:28:16 AM	The file contains frame by frame data of location for 3 tracked objects 
The coordinate system is in Unity world coordinates.
-------------------------------------------------
FrameNumber	Timestamp	Target Number	TargetX	TargetY	TargetZ	HeadX	HeadY	HeadZ	HandX	HandY	HandZ	GazeX	GazeY	GazeZ	
3265	36992.51	1	7.7	10	-6.5	7.483863	10.14551	-6.307916	7.442168	9.865169	-6.148009	7.38747	9.940227	-6.185081	
3266	37003.65	1	7.7	10	-6.5	7.483175	10.14503	-6.307171	7.442142	9.865186	-6.147927	7.387221	9.940207	-6.184743	
3267	37014.71	1	7.7	10	-6.5	7.482391	10.14437	-6.306179	7.442097	9.865149	-6.14775	7.387	9.940176	-6.184293	
3268	37025.98	1	7.7	10	-6.5	7.481474	10.1435	-6.305157	7.441947	9.865099	-6.147571	7.386769	9.94016	-6.183918	
3269	37037.38	1	7.7	10	-6.5	7.480616	10.1424	-6.304163	7.441738	9.8649	-6.147284	7.386622	9.940032	-6.18358	
3270	37048.32	1	7.7	10	-6.5	7.479753	10.14118	-6.303073	7.441552	9.864799	-6.147089	7.386664	9.940108	-6.183364	
3271	37059.77	1	7.7	10	-6.5	7.478765	10.13989	-6.301927	7.441422	9.864648	-6.14689	7.386591	9.940046	-6.183066	
3272	37070.64	1	7.7	10	-6.5	7.477836	10.13865	-6.300938	7.441336	9.864641	-6.146803	7.386621	9.940137	-6.182952	
3273	37081.95	1	7.7	10	-6.5	7.476887	10.13738	-6.299789	7.441226	9.864543	-6.146668	7.386621	9.940169	-6.18271	
3274	37092.68	1	7.7	10	-6.5	7.475898	10.13618	-6.298653	7.441137	9.864448	-6.146605	7.386556	9.94018	-6.182459	
3275	37104.47	1	7.7	10	-6.5	7.47491	10.13502	-6.297661	7.441023	9.864384	-6.146582	7.386456	9.940192	-6.182294	
3276	37115.8	1	7.7	10	-6.5	7.473851	10.13363	-6.29654	7.440938	9.864337	-6.146552	7.38647	9.940261	-6.182171	
3277	37126.83	1	7.7	10	-6.5	7.472544	10.13219	-6.295361	7.440925	9.864334	-6.146579	7.386288	9.940241	-6.181978	
3278	37138.12	1	7.7	10	-6.5	7.471293	10.13107	-6.294431	7.440873	9.864393	-6.146683	7.385961	9.940216	-6.181833	
3279	37149.53	1	7.7	10	-6.5	7.469866	10.13002	-6.293207	7.440814	9.864402	-6.146842	7.385459	9.940145	-6.181466	
3280	37160.6	1	7.7	10	-6.5	7.468323	10.12924	-6.291949	7.440773	9.864483	-6.146848	7.384643	9.93995	-6.18082	
3281	37171.65	1	7.7	10	-6.5	7.466707	10.1287	-6.290631	7.4407	9.864538	-6.146941	7.383604	9.939675	-6.180025	
3282	37182.79	1	7.7	10	-6.5	7.46488	10.12823	-6.289327	7.440674	9.864532	-6.146964	7.382157	9.939037	-6.178975	
3283	37193.68	1	7.7	10	-6.5	7.462782	10.12786	-6.288084	7.440593	9.864478	-6.147006	7.3802	9.938032	-6.177707	
3284	37205.14	1	7.7	10	-6.5	7.460817	10.12765	-6.287065	7.440477	9.864416	-6.147028	7.378127	9.936863	-6.176418	
3285	37216.64	1	7.7	10	-6.5	7.458581	10.12749	-6.285891	7.440486	9.864202	-6.147031	7.375365	9.934925	-6.174556	
3286	37227.81	1	7.7	10	-6.5	7.456079	10.12747	-6.284801	7.440319	9.864052	-6.147063	7.371885	9.932444	-6.172348	
3287	37238.7	1	7.7	10	-6.5	7.453663	10.12769	-6.28393	7.440159	9.863857	-6.146997	7.367515	9.928808	-6.169453	
3288	37250.12	1	7.7	10	-6.5	7.451084	10.12783	-6.28297	7.440035	9.863639	-6.147045	7.360787	9.922039	-6.164627	
3289	37260.59	1	7.7	10	-6.5	7.448132	10.12809	-6.281963	7.43999	9.863476	-6.146958	0.03676915	0	-0.03101194	
3290	37272.2	1	7.7	10	-6.5	7.445187	10.12838	-6.281023	7.439876	9.863283	-6.146844	0.03675461	0	-0.03100765	
3291	37283.16	1	7.7	10	-6.5	7.442148	10.12866	-6.280104	7.439898	9.863028	-6.146855	0.03673863	0	-0.03100228	
3292	37295.32	1	7.7	10	-6.5	7.438919	10.12902	-6.27918	7.439908	9.862897	-6.146746	0.03672051	0	-0.03099537	
3293	37305.52	1	7.7	10	-6.5	7.435524	10.12947	-6.278253	7.439875	9.862879	-6.14675	0.03670239	0	-0.03099024	
3294	37316.75	1	7.7	10	-6.5	7.432128	10.12985	-6.277404	7.439727	9.862812	-6.146526	0.03668475	0	-0.030985	
3295	37328.2	1	7.7	10	-6.5	7.428542	10.13027	-6.276572	7.439627	9.862765	-6.146483	0.0366652	0	-0.03097963	
3296	37338.94	1	7.7	10	-6.5	7.424857	10.13071	-6.275843	7.439511	9.862686	-6.146407	0.03664589	0	-0.03097451	
3297	37350.63	1	7.7	10	-6.5	7.420933	10.13113	-6.275147	7.439386	9.862571	-6.146399	0.03662419	0	-0.03096986	
3298	37361.29	1	7.7	10	-6.5	7.416841	10.13163	-6.274419	7.439307	9.862495	-6.14634	0.03660274	0	-0.03096461	
3299	37372.57	1	7.7	10	-6.5	7.412579	10.13222	-6.273635	7.439167	9.862434	-6.146273	0.03657985	0	-0.03095877	
3300	37384.35	1	7.7	10	-6.5	7.408219	10.13267	-6.273022	7.439066	9.86235	-6.146199	0.03655672	0	-0.03095484	
3301	37395.09	1	7.7	10	-6.5	7.40364	10.13314	-6.272573	7.438939	9.862247	-6.146153	0.03653193	0	-0.03095067	
3302	37406.09	1	7.7	10	-6.5	7.399119	10.13372	-6.272239	7.438827	9.862224	-6.146106	0.03650737	0	-0.03094709	
3303	37418.09	1	7.7	10	-6.5	7.394485	10.13418	-6.272057	7.438802	9.862035	-6.146169	0.03648353	0	-0.03094482	
3304	37428.53	1	7.7	10	-6.5	7.389669	10.1348	-6.271769	7.438712	9.861961	-6.146114	0.0364573	0	-0.03094184	
3305	37439.63	1	7.7	10	-6.5	7.384721	10.13549	-6.271796	7.438631	9.861885	-6.146061	0.0364306	0	-0.03093994	
3306	37450.73	1	7.7	10	-6.5	7.379678	10.13609	-6.272074	7.438558	9.86174	-6.146129	0.0364027	0	-0.03093898	
3307	37461.79	1	7.7	10	-6.5	7.374447	10.13672	-6.272445	7.438471	9.861579	-6.146014	0.03637505	0	-0.03093946	
3308	37473.26	1	7.7	10	-6.5	7.369171	10.13724	-6.273032	7.438367	9.861446	-6.145867	0.03634715	0	-0.03094065	
3309	37484.38	1	7.7	10	-6.5	7.363964	10.13784	-6.273528	7.438236	9.861251	-6.145789	0.03631973	0	-0.03094125	
3310	37495.91	1	7.7	10	-6.5	7.358323	10.13859	-6.274742	7.437963	9.860976	-6.145784	0.03628826	0	-0.03094459	
