4/14/2019 1:47	The file contains frame by frame data of location for 3 tracked objects 													
The coordinate system is in Unity world coordinates.														
-------------------------------------------------														
FrameNumber	Timestamp	Target Number	TargetX	TargetY	TargetZ	HeadX	HeadY	HeadZ	HandX	HandY	HandZ	GazeX	GazeY	GazeZ
3566	40409.77	0	0	0	0	7.106021	10.1594	-6.971119	7.908878	9.825068	-6.93759	18.8814	1.855445	4.75
3567	40420.99	0	0	0	0	7.105648	10.15972	-6.970759	7.908894	9.825057	-6.937591	18.97413	1.783103	4.75
3568	40432.01	0	0	0	0	7.104365	10.15983	-6.970484	7.908912	9.825079	-6.937586	19.17147	1.744519	4.75
3569	40443.28	0	0	0	0	7.103563	10.15949	-6.969985	7.908872	9.825013	-6.937555	19.3387	1.741885	4.75
3570	40454.37	0	0	0	0	7.102678	10.15991	-6.969519	7.908894	9.824992	-6.937583	19.51409	1.645371	4.75
3571	40465.88	0	0	0	0	7.101368	10.15998	-6.969286	7.908906	9.824996	-6.93758	19.71326	1.614666	4.75
3572	40476.89	0	0	0	0	7.100539	10.15949	-6.968749	7.908905	9.824974	-6.937574	19.8948	1.626815	4.75
3573	40488.06	0	0	0	0	7.100175	10.15958	-6.968472	7.908869	9.824957	-6.937603	19.98092	1.589829	4.75
3574	40499.04	0	0	0	0	7.086692	10.15864	-6.967944	7.908884	9.824961	-6.937603	21.8074	1.660774	4.75
3575	40510.32	0	0	0	0	7.085848	10.15866	-6.967013	7.908962	9.825088	-6.937659	22.07226	1.570312	4.75
3576	40521.86	0	0	0	0	7.085566	10.15855	-6.966946	7.908982	9.825086	-6.937629	22.12082	1.577669	4.75
3577	40532.75	0	0	0	0	7.084437	10.15857	-6.966977	7.908951	9.825046	-6.937625	22.26369	1.577906	4.75
3578	40560.36	0	0	0	0	7.08362	10.15867	-6.966	7.908957	9.825044	-6.937631	22.54094	1.469346	4.75
3579	40566.66	0	0	0	0	7.083031	10.15872	-6.965901	7.908937	9.825078	-6.937627	24.42619	2.828279	4.75
3580	40577.54	0	0	0	0	7.082078	10.15813	-6.96544	7.908903	9.825044	-6.937624	24.66196	2.871665	4.75
3581	40583.94	0	0	0	0	7.08191	10.15802	-6.965616	7.908897	9.825052	-6.937633	24.96244	2.610237	4.750001
3582	40594.87	0	0	0	0	7.082849	10.15813	-6.965782	7.908912	9.825049	-6.937665	25.14338	2.292677	4.75
3583	40606.11	0	0	0	0	7.080878	10.15653	-6.964734	7.908876	9.825002	-6.937653	25.68585	2.426803	4.75
3584	40617.09	0	0	0	0	7.08062	10.15674	-6.965197	7.908873	9.825001	-6.937642	25.98607	1.900745	4.75
3585	40628.5	0	0	0	0	7.081962	10.15688	-6.965437	7.908812	9.825015	-6.937701	25.72184	1.906181	4.75
3586	40639.34	0	0	0	0	7.081359	10.15625	-6.965624	7.9088	9.825039	-6.937725	26.77254	1.646063	4.75
3587	40650.64	0	0	0	0	7.081189	10.15654	-6.965967	7.908813	9.82506	-6.937656	26.70827	1.63875	4.75
3588	40661.84	0	0	0	0	7.082701	10.15664	-6.966344	7.908844	9.825091	-6.937618	27.19193	1.090263	4.75
3589	40673.53	0	0	0	0	7.082217	10.15555	-6.966161	7.908845	9.825088	-6.937612	27.32274	1.246024	4.75
3590	40684.03	0	0	0	0	7.082379	10.15588	-6.96728	7.908929	9.825061	-6.937625	28.15468	0.7955618	4.75
3591	40695.29	0	0	0	0	7.083897	10.15596	-6.967762	7.908949	9.825049	-6.937617	27.75714	0.8475533	4.75
3592	40706.41	0	0	0	0	7.084276	10.15515	-6.968746	7.908944	9.825047	-6.937614	28.97642	0.5832562	4.75
3593	40717.76	0	0	0	0	7.084439	10.15561	-6.969222	7.908945	9.82504	-6.937642	28.79453	0.5711493	4.75
3594	40728.96	0	0	0	0	7.086297	10.15573	-6.969721	7.908974	9.825046	-6.937603	29.80357	0.00724268	4.75
3595	40739.96	0	0	0	0	7.086829	10.15514	-6.97012	7.908916	9.824935	-6.937546	29.56796	0.1758924	4.75
3596	40751.14	0	0	0	0	7.087538	10.15551	-6.971362	7.908877	9.824944	-6.937518	30.17576	-0.204288	4.75
3597	40762.63	0	0	0	0	7.089571	10.15558	-6.971939	7.908893	9.824919	-6.937499	29.60112	-0.1251688	4.75
3598	40773.64	0	0	0	0	7.090677	10.15485	-6.973333	7.908895	9.824927	-6.937485	30.96282	-0.3011127	4.75
3599	40784.96	0	0	0	0	7.091226	10.15522	-6.973965	7.908798	9.824931	-6.937571	30.61937	-0.264327	4.75
3600	40795.79	0	0	0	0	7.093287	10.15514	-6.974725	7.908806	9.824905	-6.937555	31.5096	-0.8810692	4.75
3601	40807.19	0	0	0	0	7.094493	10.15453	-6.976181	7.908828	9.824986	-6.937572	30.70195	-0.5040097	4.75
3602	40818.22	0	0	0	0	7.095281	10.15473	-6.976894	7.90888	9.824939	-6.93762	32.59347	-1.349016	4.75
3603	40829.84	0	0	0	0	7.097309	10.15472	-6.977547	7.908846	9.824907	-6.937693	32.74686	-1.48209	4.75
3604	40840.58	0	0	0	0	7.098718	10.15465	-6.979026	7.908908	9.825021	-6.937749	32.87234	-1.573053	4.75
3605	40851.78	0	0	0	0	7.099662	10.15501	-6.979721	7.908911	9.825038	-6.9377	33.82244	-2.0573	4.75
3606	40862.72	0	0	0	0	7.101768	10.15508	-6.98046	7.908903	9.825045	-6.937728	33.54798	-2.160592	4.75
3607	40874.22	0	0	0	0	7.10338	10.15486	-6.982148	7.908895	9.825064	-6.937733	32.43464	-1.75001	4.75
3608	40885.26	0	0	0	0	7.104746	10.15524	-6.983352	7.908907	9.825078	-6.937662	31.63655	-1.579568	4.75
3609	40896.55	0	0	0	0	7.107784	10.15554	-6.98455	7.908908	9.825069	-6.937664	30.54426	-1.402837	4.75
3610	40907.43	0	0	0	0	7.109525	10.15548	-6.985885	7.908883	9.825051	-6.937653	29.69489	-1.137251	4.75
