4/14/2019 1:29	The file contains frame by frame data of location for 3 tracked objects 										
The coordinate system is in Unity world coordinates.											
-------------------------------------------------											
FrameNumber	Timestamp	Target Number	TargetX	TargetY	TargetZ	HeadX	HeadY	HeadZ	HandX	HandY	HandZ
575	7024.608	-1	7.5	10	-6.2	6.971544	10.16564	-6.742503	7.190028	10.01442	-6.350955
576	7035.595	-1	7.5	10	-6.2	6.971033	10.16562	-6.742424	7.179994	10.01373	-6.351523
577	7047.183	-1	7.5	10	-6.2	6.970573	10.16566	-6.74234	7.169901	10.01305	-6.351884
578	7058.254	-1	7.5	10	-6.2	6.970398	10.16539	-6.742628	7.160604	10.01245	-6.352307
579	7069.209	-1	7.5	10	-6.2	6.970068	10.16538	-6.742558	7.151543	10.01179	-6.351899
580	7080.901	-1	7.5	10	-6.2	6.969625	10.16546	-6.742492	7.142049	10.01105	-6.351439
581	7091.827	-1	7.5	10	-6.2	6.969288	10.16523	-6.742997	7.133617	10.01034	-6.350677
582	7103.113	-1	7.5	10	-6.2	6.969065	10.16519	-6.743137	7.124796	10.00956	-6.349545
583	7114.049	-1	7.5	10	-6.2	6.968713	10.16528	-6.743191	7.116533	10.0087	-6.348416
584	7125.508	-1	7.5	10	-6.2	6.968296	10.1651	-6.743774	7.108408	10.00779	-6.347053
585	7137.01	-1	7.5	10	-6.2	6.968157	10.16509	-6.743975	7.100083	10.00694	-6.345372
586	7147.524	-1	7.5	10	-6.2	6.96778	10.16524	-6.744009	7.092344	10.00615	-6.343489
587	7158.946	-1	7.5	10	-6.2	6.967342	10.16506	-6.744573	7.084625	10.00542	-6.341359
588	7170.564	-1	7.5	10	-6.2	6.967159	10.16503	-6.744742	7.077247	10.00468	-6.339282
589	7181.396	-1	7.5	10	-6.2	6.966744	10.16517	-6.744817	7.069805	10.00416	-6.336553
590	7192.623	-1	7.5	10	-6.2	6.966273	10.16501	-6.745342	7.06293	10.00367	-6.333864
591	7203.317	-1	7.5	10	-6.2	6.965943	10.16506	-6.745328	7.056647	10.00326	-6.330975
592	7215.235	-1	7.5	10	-6.2	6.965469	10.16527	-6.745329	7.050282	10.00296	-6.327971
593	7226.638	-1	7.5	10	-6.2	6.964953	10.16515	-6.745741	7.043919	10.00284	-6.324968
594	7237.292	-1	7.5	10	-6.2	6.96464	10.16517	-6.74573	7.038212	10.00265	-6.322165
595	7248.584	-1	7.5	10	-6.2	6.964093	10.16539	-6.74565	7.032686	10.00268	-6.319096
596	7259.495	0	7.7	10	-6.5	6.963611	10.1653	-6.745959	7.027751	10.00298	-6.316247
597	7270.918	0	7.7	10	-6.5	6.963155	10.16534	-6.745671	7.022869	10.00301	-6.313345
598	7282.45	0	7.7	10	-6.5	6.962594	10.16549	-6.745482	7.018247	10.0031	-6.310421
599	7293.995	0	7.7	10	-6.5	6.962034	10.16532	-6.745624	7.013821	10.00336	-6.30764
600	7305.557	0	7.7	10	-6.5	6.961664	10.16524	-6.745418	7.00974	10.00348	-6.305038
601	7316.269	0	7.7	10	-6.5	6.961132	10.16519	-6.745443	7.006137	10.00354	-6.302711
602	7328.445	0	7.7	10	-6.5	6.960619	10.16493	-6.745077	7.002485	10.00365	-6.300748
603	7341.2	0	7.7	10	-6.5	6.960203	10.16474	-6.744595	6.998593	10.00357	-6.298728
604	7352.606	0	7.7	10	-6.5	6.959729	10.16459	-6.744396	6.995313	10.00344	-6.297441
605	7359.349	0	7.7	10	-6.5	6.959249	10.16421	-6.743868	6.993392	10.00331	-6.296702
606	7370.461	0	7.7	10	-6.5	6.958888	10.16394	-6.743244	6.990424	10.00293	-6.295752
607	7381.617	0	7.7	10	-6.5	6.958551	10.16368	-6.742749	6.987904	10.0023	-6.295041
608	7392.822	0	7.7	10	-6.5	6.958189	10.16337	-6.742373	6.984782	10.00194	-6.294443
609	7404.279	0	7.7	10	-6.5	6.957964	10.16302	-6.741797	6.981889	10.00123	-6.293983
610	7415.234	0	7.7	10	-6.5	6.957736	10.16273	-6.741296	6.979102	10.00052	-6.293601
611	7426.536	0	7.7	10	-6.5	6.957263	10.16259	-6.740914	6.97613	9.999958	-6.293356
612	7437.367	0	7.7	10	-6.5	6.956944	10.16239	-6.740231	6.973372	9.999223	-6.293234
613	7448.225	0	7.7	10	-6.5	6.956609	10.16215	-6.739769	6.970386	9.998609	-6.293302
614	7460.009	0	7.7	10	-6.5	6.955909	10.16241	-6.738978	6.967048	9.998121	-6.293528
615	7470.638	0	7.7	10	-6.5	6.955373	10.16234	-6.738356	6.964004	9.997614	-6.293921
616	7482.871	0	7.7	10	-6.5	6.954824	10.16216	-6.737933	6.960765	9.997216	-6.294417
617	7493.569	0	7.7	10	-6.5	6.953737	10.16194	-6.73714	6.957441	9.997009	-6.294944
618	7504.8	0	7.7	10	-6.5	6.95273	10.16182	-6.736624	6.95424	9.996892	-6.295575
619	7515.844	0	7.7	10	-6.5	6.951456	10.16162	-6.736135	6.95102	9.996786	-6.296273
620	7526.692	0	7.7	10	-6.5	6.949053	10.16154	-6.735272	6.947527	9.996965	-6.297119
621	7539.706	0	7.7	10	-6.5	6.947326	10.16147	-6.73444	6.943547	9.996887	-6.298071
622	7549.049	0	7.7	10	-6.5	6.945261	10.16112	-6.734206	6.940263	9.996858	-6.298949
623	7560.251	0	7.7	10	-6.5	6.942299	10.16092	-6.73281	6.936325	9.996872	-6.29995
624	7571.466	0	7.7	10	-6.5	6.939771	10.16084	-6.732034	6.932328	9.99679	-6.301093
625	7582.726	0	7.7	10	-6.5	6.937366	10.16054	-6.731707	6.928461	9.996541	-6.302505
626	7593.414	0	7.7	10	-6.5	6.933716	10.16019	-6.73063	6.924337	9.996614	-6.303813
627	7605.38	0	7.7	10	-6.5	6.930591	10.16004	-6.730192	6.920088	9.996613	-6.305203
628	7616.277	0	7.7	10	-6.5	6.927952	10.15956	-6.730421	6.915771	9.996587	-6.306746
629	7627.488	0	7.7	10	-6.5	6.923838	10.15925	-6.729636	6.911226	9.996624	-6.308424
630	7638.493	0	7.7	10	-6.5	6.920699	10.15904	-6.729796	6.90677	9.996652	-6.310236
631	7649.669	0	7.7	10	-6.5	6.918532	10.15845	-6.731023	6.902103	9.996537	-6.312515
632	7660.709	0	7.7	10	-6.5	6.914534	10.15824	-6.730661	6.897184	9.99672	-6.31499
633	7674.023	0	7.7	10	-6.5	6.911599	10.15808	-6.731522	6.891465	9.996684	-6.317693
634	7683.058	0	7.7	10	-6.5	6.908884	10.1577	-6.732742	6.88727	9.996758	-6.319574
635	7694.279	0	7.7	10	-6.5	6.905289	10.15728	-6.733267	6.882071	9.99676	-6.322138
636	7706.059	0	7.7	10	-6.5	6.902373	10.1572	-6.734605	6.876704	9.99676	-6.324766
637	7716.417	0	7.7	10	-6.5	6.901856	10.15688	-6.73737	6.871709	9.996857	-6.327267
638	7728.077	0	7.7	10	-6.5	6.89937	10.15664	-6.738767	6.866124	9.997025	-6.329931
639	7739.382	0	7.7	10	-6.5	6.897347	10.15669	-6.740619	6.860808	9.997081	-6.332616
640	7750.841	0	7.7	10	-6.5	6.895686	10.1566	-6.742545	6.855472	9.997123	-6.335365
641	7761.906	0	7.7	10	-6.5	6.894055	10.15653	-6.743966	6.850204	9.997319	-6.337926
642	7773.02	0	7.7	10	-6.5	6.892369	10.15661	-6.745435	6.844997	9.997393	-6.340519
643	7784.314	0	7.7	10	-6.5	6.883168	10.15726	-6.74246	6.839903	9.997431	-6.343202
644	7796.033	0	7.7	10	-6.5	6.88138	10.15777	-6.744033	6.834684	9.997567	-6.345615
645	7806.923	0	7.7	10	-6.5	6.879389	10.15793	-6.745204	6.829911	9.997618	-6.347904
646	7818.092	0	7.7	10	-6.5	6.873617	10.15838	-6.742364	6.825144	9.997483	-6.350469
647	7828.847	0	7.7	10	-6.5	6.872386	10.15888	-6.744098	6.820064	9.997552	-6.352545
648	7840.728	0	7.7	10	-6.5	6.870909	10.15875	-6.745564	6.815054	9.997405	-6.354912
649	7853.031	0	7.7	10	-6.5	6.873688	10.15829	-6.747632	6.809838	9.997273	-6.357305
650	7862.524	0	7.7	10	-6.5	6.872746	10.15839	-6.749332	6.805385	9.997356	-6.359115
651	7874.693	0	7.7	10	-6.5	6.871537	10.15814	-6.750947	6.800061	9.997292	-6.361234
652	7887.065	0	7.7	10	-6.5	6.872677	10.15778	-6.753513	6.795182	9.997098	-6.363598
653	7896.656	0	7.7	10	-6.5	6.87184	10.15766	-6.754961	6.79043	9.997009	-6.365781
654	7907.504	0	7.7	10	-6.5	6.870637	10.15761	-6.756153	6.785967	9.99691	-6.368032
655	7918.735	0	7.7	10	-6.5	6.873123	10.15708	-6.759933	6.781005	9.99684	-6.370728
656	7929.546	0	7.7	10	-6.5	6.872496	10.15708	-6.761075	6.776659	9.996709	-6.373319
657	7940.81	0	7.7	10	-6.5	6.871728	10.15703	-6.761941	6.772328	9.996652	-6.375905
658	7952.82	0	7.7	10	-6.5	6.872076	10.15692	-6.76449	6.768029	9.99684	-6.378716
659	7962.753	0	7.7	10	-6.5	6.87149	10.1568	-6.765266	6.764563	9.996891	-6.38152
660	7974.407	0	7.7	10	-6.5	6.870781	10.15692	-6.765456	6.761153	9.997148	-6.384589
661	7985.245	0	7.7	10	-6.5	6.870811	10.15703	-6.767211	6.758715	9.997215	-6.387818
662	7996.088	0	7.7	10	-6.5	6.870613	10.15693	-6.767659	6.75619	9.997766	-6.391214
663	8007.408	0	7.7	10	-6.5	6.869914	10.15731	-6.766905	6.75421	9.998234	-6.394496
