4/21/2019 10:31:48 PM	The file contains frame by frame data of location for 3 tracked objects 
The coordinate system is in Unity world coordinates.
-------------------------------------------------
FrameNumber	Timestamp	Target Number	TargetX	TargetY	TargetZ	HeadX	HeadY	HeadZ	HandX	HandY	HandZ	GazeX	GazeY	GazeZ	
28455	320233.4	-1	7.5	10	-6.2	6.872294	10.15215	-6.509207	7.163832	10.03576	-6.360507	42.79845	15.56168	4.75	
28456	320243.8	-1	7.5	10	-6.2	6.870727	10.15172	-6.508001	7.151211	10.03511	-6.364957	42.79845	15.56168	4.75	
28457	320255	-1	7.5	10	-6.2	6.869019	10.15134	-6.506885	7.138311	10.03488	-6.369894	42.79845	15.56168	4.75	
28458	320266.6	-1	7.5	10	-6.2	6.867346	10.15088	-6.505994	7.125066	10.03363	-6.374712	42.79845	15.56168	4.75	
28459	320287.7	-1	7.5	10	-6.2	6.865849	10.15056	-6.504874	7.112581	10.03213	-6.379414	42.79845	15.56168	4.75	
28460	320296.9	-1	7.5	10	-6.2	6.864278	10.15022	-6.503675	7.088902	10.02923	-6.386408	42.79845	15.56168	4.75	
28461	320306	-1	7.5	10	-6.2	6.862841	10.15002	-6.502719	7.078598	10.02775	-6.38904	42.79845	15.56168	4.75	
28462	320315.4	-1	7.5	10	-6.2	6.861721	10.14995	-6.501765	7.067675	10.0263	-6.391129	42.79845	15.56168	4.75	
28463	320327.2	-1	7.5	10	-6.2	6.860695	10.1499	-6.500959	7.056341	10.02436	-6.393131	42.79845	15.56168	4.75	
28464	320335.2	-1	7.5	10	-6.2	6.859608	10.14971	-6.500457	7.047137	10.0232	-6.39463	42.79845	15.56168	4.75	
28465	320344.8	-1	7.5	10	-6.2	6.858553	10.14954	-6.500035	7.038796	10.02261	-6.396001	42.79845	15.56168	4.75	
28466	320355.1	-1	7.5	10	-6.2	6.857342	10.14938	-6.499627	7.029904	10.02216	-6.396712	42.79845	15.56168	4.75	
28467	320369	-1	7.5	10	-6.2	6.856135	10.14923	-6.499535	7.021833	10.02292	-6.39637	42.79845	15.56168	4.75	
28468	320378.3	-1	7.5	10	-6.2	6.855038	10.14911	-6.499413	7.015487	10.02421	-6.395996	42.79845	15.56168	4.75	
28469	320388.3	-1	7.5	10	-6.2	6.854101	10.14906	-6.499382	7.009175	10.0256	-6.395273	42.79845	15.56168	4.75	
28470	320400.5	-1	7.5	10	-6.2	6.853258	10.14902	-6.499649	7.005165	10.02748	-6.391884	42.79845	15.56168	4.75	
28471	320411.2	-1	7.5	10	-6.2	6.852598	10.14899	-6.500045	7.001328	10.02887	-6.388999	42.79845	15.56168	4.75	
28472	320423	-1	7.5	10	-6.2	6.851858	10.14897	-6.500609	6.997799	10.03004	-6.384481	42.79845	15.56168	4.75	
28473	320433.6	-1	7.5	10	-6.2	6.851024	10.14894	-6.501323	6.994604	10.03054	-6.378486	42.79845	15.56168	4.75	
28474	320445.1	-1	7.5	10	-6.2	6.850049	10.14901	-6.501832	6.991813	10.03096	-6.372465	42.79845	15.56168	4.75	
28475	320456.1	-1	7.5	10	-6.2	6.849071	10.14924	-6.502318	6.990292	10.03054	-6.364305	42.79845	15.56168	4.75	
28476	320467.5	-1	7.5	10	-6.2	6.848144	10.14946	-6.502969	6.989073	10.03096	-6.356629	42.79845	15.56168	4.75	
28477	320478.7	-1	7.5	10	-6.2	6.847293	10.14976	-6.503495	6.989967	10.03047	-6.346784	42.79845	15.56168	4.75	
28478	320489.6	-1	7.5	10	-6.2	6.846444	10.14995	-6.504005	6.991051	10.02967	-6.337	42.79845	15.56168	4.75	
28479	320501.1	-1	7.5	10	-6.2	6.845583	10.15014	-6.504774	6.993281	10.02822	-6.32637	42.79845	15.56168	4.75	
28480	320512	26	6.5	10	-6.2	6.844523	10.15026	-6.505468	6.996026	10.02644	-6.315512	42.79845	15.56168	4.75	
28481	320523.2	26	6.5	10	-6.2	6.843541	10.15032	-6.506115	6.998621	10.02362	-6.303716	42.79845	15.56168	4.75	
28482	320533.6	26	6.5	10	-6.2	6.842459	10.15045	-6.506759	7.00095	10.0208	-6.291828	42.79845	15.56168	4.75	
